"","sovereignt","type","admin","geounit","subunit","name","name_long","brk_name","formal_en","name_sort"
"191","United Kingdom","Dependency","South Georgia and South Sandwich Islands","South Georgia and South Sandwich Islands","South Georgia and South Sandwich Islands","S. Geo. and S. Sandw. Is.","South Georgia and South Sandwich Islands","S. Geo. and S. Sandw. Is.","South Georgia and South Sandwich Islands","South Georgia and the Islands"
"192","United Kingdom","Dependency","Saint Helena","Saint Helena","Saint Helena","Saint Helena","Saint Helena","Saint Helena",NA,"St. Helena"
"193","Solomon Islands","Sovereign country","Solomon Islands","Solomon Islands","Solomon Islands","Solomon Is.","Solomon Islands","Solomon Is.",NA,"Solomon Islands"
"194","Sierra Leone","Sovereign country","Sierra Leone","Sierra Leone","Sierra Leone","Sierra Leone","Sierra Leone","Sierra Leone","Republic of Sierra Leone","Sierra Leone"
"195","El Salvador","Sovereign country","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","Republic of El Salvador","El Salvador"
"196","San Marino","Sovereign country","San Marino","San Marino","San Marino","San Marino","San Marino","San Marino","Republic of San Marino","San Marino"
"197","Somaliland","Indeterminate","Somaliland","Somaliland","Somaliland","Somaliland","Somaliland","Somaliland","Republic of Somaliland","Somaliland"
"198","Somalia","Sovereign country","Somalia","Somalia","Somalia","Somalia","Somalia","Somalia","Federal Republic of Somalia","Somalia"
"199","France","Dependency","Saint Pierre and Miquelon","Saint Pierre and Miquelon","Saint Pierre and Miquelon","St. Pierre and Miquelon","Saint Pierre and Miquelon","St. Pierre and Miquelon","Saint Pierre and Miquelon","St. Pierre and Miquelon"
"200","Republic of Serbia","Sovereign country","Republic of Serbia","Republic of Serbia","Republic of Serbia","Serbia","Serbia","Serbia","Republic of Serbia","Serbia"
"201","Sao Tome and Principe","Sovereign country","Sao Tome and Principe","Sao Tome and Principe","Sao Tome and Principe","São Tomé and Principe","São Tomé and Principe","Sao Tome and Principe","Democratic Republic of São Tomé and Principe","São Tomé and Principe"
"202","Suriname","Sovereign country","Suriname","Suriname","Suriname","Suriname","Suriname","Suriname","Republic of Suriname","Suriname"
"203","Slovakia","Sovereign country","Slovakia","Slovakia","Slovakia","Slovakia","Slovakia","Slovakia","Slovak Republic","Slovak Republic"
"204","Slovenia","Sovereign country","Slovenia","Slovenia","Slovenia","Slovenia","Slovenia","Slovenia","Republic of Slovenia","Slovenia"
"205","Sweden","Sovereign country","Sweden","Sweden","Sweden","Sweden","Sweden","Sweden","Kingdom of Sweden","Sweden"
"206","Swaziland","Sovereign country","Swaziland","Swaziland","Swaziland","Swaziland","Swaziland","Swaziland","Kingdom of Swaziland","Swaziland"
"207","Netherlands","Country","Sint Maarten","Sint Maarten","Sint Maarten","Sint Maarten","Sint Maarten","Sint Maarten","Sint Maarten (Dutch part)","St. Maarten (Dutch part)"
"208","Seychelles","Sovereign country","Seychelles","Seychelles","Seychelles","Seychelles","Seychelles","Seychelles","Republic of Seychelles","Seychelles"
